latitude,longitude,stars,review_count,attributes_RestaurantsPriceRange2,attributes_GoodForKids,attributes_Ambience_touristy,attributes_Ambience_romantic,attributes_Ambience_intimate,attributes_Ambience_trendy,attributes_Ambience_classy,attributes_Ambience_casual,Bars_Night,Beauty_Health_Care,Cafes,GYM,Restaurants_Cuisines,Shops
39.9555052,-75.1555641,4.0,80,1,1,0,0,0,0,0,1,0,0,1,0,1,0
39.953949,-75.1432262,4.0,245,2,0,0,0,0,0,1,0,0,0,0,0,1,0
39.943223,-75.162568,4.5,205,1,1,0,0,0,0,0,1,0,0,0,0,1,0
40.0067071,-75.289671,3.5,109,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.9625821,-75.1356571,3.5,65,2,1,0,0,0,0,1,0,0,0,0,0,1,0
39.9062952,-86.0474634,3.5,257,2,1,0,0,0,0,0,1,1,0,0,0,1,0
28.1962523878,-82.3806153496,4.5,95,2,0,0,0,0,0,0,1,1,0,0,0,1,0
39.8755319,-86.0828565,4.5,139,2,0,0,0,0,0,0,1,1,0,0,0,0,0
40.0723302045,-75.0484833435,4.5,58,1,1,0,0,0,0,0,1,0,0,0,0,0,1
34.4144445,-119.6906718,4.0,389,2,1,0,0,0,1,0,1,0,0,1,0,1,0
29.9506467229,-90.0744274301,4.5,350,2,1,0,0,0,0,1,0,1,0,0,0,1,0
36.1626492,-86.7759733,4.5,593,2,1,0,0,0,0,0,1,0,0,1,0,1,0
29.9554151,-90.0700619,4.0,382,2,1,0,0,0,0,1,1,0,0,0,0,1,0
27.7694046,-82.767317,4.0,129,3,0,0,0,0,0,1,0,0,0,0,0,1,0
38.5832229,-90.4071872,4.0,73,2,1,0,0,0,0,1,0,1,0,0,0,1,0
38.6001971,-90.2135377,4.5,605,1,1,0,0,0,0,0,1,1,0,0,0,0,0
32.206315,-110.887843,3.5,56,1,1,0,0,0,0,0,1,1,0,0,0,1,0
34.4087147,-119.6850187,4.0,2404,2,1,0,0,0,0,1,1,1,0,0,0,1,0
29.9670548,-90.0658282,3.5,67,2,1,0,0,0,0,0,1,0,0,0,0,1,0
43.6119488,-116.2711098,4.0,68,2,1,0,0,0,0,0,1,0,1,0,0,0,0
36.162799,-86.776016,4.0,182,2,0,0,0,0,1,0,1,1,0,0,0,1,0
40.2668877,-74.8056572,4.0,52,2,1,0,0,0,0,0,1,0,0,0,0,1,0
34.4241297,-119.7053211,4.5,68,2,1,0,0,0,0,0,1,0,1,0,0,0,0
32.2280919,-110.9698038,5.0,60,1,1,0,0,0,0,0,1,0,1,0,0,0,0
28.192191035,-82.396367,4.0,75,1,1,0,0,0,0,0,1,0,0,0,0,1,0
40.1124813,-75.3799748,3.5,60,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.9764555,-75.1270254,4.0,105,1,1,0,0,0,0,0,1,0,0,1,0,0,0
38.5857552,-90.2768425,4.5,55,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.8887246,-86.1212129,4.0,246,2,1,0,0,0,0,1,1,0,0,0,0,1,0
28.09236,-82.500588,4.0,108,2,1,0,0,0,0,0,1,1,0,0,0,1,0
32.3387235226,-111.0303098651,4.0,58,2,1,0,0,0,1,0,1,1,0,0,0,1,0
39.9385518,-75.1496356,4.5,183,1,1,0,0,0,0,0,1,0,0,1,0,1,0
35.9565328581,-86.8027199385,4.5,112,2,1,0,1,0,0,1,1,1,0,0,0,1,0
27.9371659,-82.2699586,3.5,84,2,1,0,0,0,0,0,1,0,1,0,0,0,0
43.6196488,-116.3871392,4.5,119,1,1,0,0,0,0,0,1,0,0,0,0,1,0
36.107591,-86.813774,3.5,71,3,1,0,0,0,0,0,1,0,0,0,0,0,1
39.9563959,-75.2253784,4.5,66,1,1,0,0,0,0,0,0,0,0,1,0,1,0
39.9497345,-75.165436,3.5,120,1,1,0,0,0,0,0,1,0,1,0,0,0,0
28.0112177255,-82.6113298722,3.5,53,1,1,0,0,0,0,0,1,0,0,0,0,0,1
27.9419745389,-82.5053069603,4.0,55,2,1,0,0,0,0,0,1,0,1,0,0,0,0
39.305224,-119.652596,4.5,104,2,1,0,0,0,0,1,1,0,0,0,0,1,0
27.806517,-82.749065,4.5,99,1,1,0,0,0,0,0,1,0,0,0,0,1,0
35.9326054453,-86.860662065,4.5,66,2,1,0,0,0,0,0,0,0,0,1,0,1,0
32.2509598946,-110.9591583204,4.0,446,2,1,0,0,0,0,1,1,1,0,0,0,1,0
38.6243584,-90.1886849,4.0,261,3,0,0,0,0,0,1,0,0,0,0,0,1,0
28.0921362,-82.5785736,4.0,82,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.8518617214,-86.3847577572,4.0,74,2,1,0,0,0,0,0,1,0,0,0,0,1,0
29.948395,-90.075281,4.0,302,1,1,0,0,0,1,0,1,0,0,0,0,1,0
39.9506555,-75.1708991,4.0,618,2,0,0,1,1,1,1,0,0,0,0,0,1,0
32.2165669,-110.8195292,5.0,73,1,1,0,0,0,0,0,1,0,0,0,0,0,1
40.0099504,-75.2591858,4.0,120,2,1,0,0,0,0,0,1,0,0,0,0,1,0
28.188219,-82.347274,4.5,496,2,1,0,0,0,1,0,1,1,0,0,0,1,0
40.0520643,-75.1273939,4.5,351,2,1,0,0,0,0,1,1,0,0,0,0,1,0
39.7119376,-75.1109667,4.0,88,2,1,0,0,0,0,1,1,0,0,0,0,1,0
34.4362361,-119.7261474,4.0,64,2,1,0,0,0,0,0,1,0,0,0,0,1,0
32.2201995,-110.9415829,4.5,116,1,1,0,0,0,0,0,1,0,0,0,0,0,1
39.9418766,-75.1451988,4.0,604,2,0,0,0,0,0,1,1,1,0,0,0,1,0
40.180187,-74.87527,3.5,56,2,1,0,0,0,0,0,1,0,0,0,0,1,0
39.949485,-75.1673521,4.5,106,1,1,0,0,0,0,0,1,0,0,0,0,0,1
32.149473,-110.9781864,4.0,92,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.8826936,-75.0583844,4.5,70,1,1,0,0,0,0,0,1,0,0,1,0,1,0
34.4305419,-119.882367,4.0,189,1,1,0,0,0,0,0,1,0,0,1,0,1,0
39.7802203,-86.1418027,4.5,132,2,1,0,0,0,0,1,0,1,0,0,0,1,0
32.207596,-110.881629,3.5,92,1,1,0,0,0,0,0,1,0,0,0,0,0,1
39.9970877,-86.0023117,4.0,83,2,1,0,0,0,0,0,0,0,0,0,0,1,0
40.08178,-75.0267907,4.0,80,1,1,0,0,0,0,0,1,0,0,0,0,1,0
27.9600238,-82.4444005,4.0,548,2,1,0,0,0,0,1,1,1,0,1,0,1,0
53.5710863856,-113.548768193,4.5,77,2,1,0,0,0,0,0,1,1,0,0,0,0,0
34.4392950745,-119.7443122433,5.0,54,2,1,0,0,0,0,0,1,0,1,0,0,0,0
39.8996609,-74.9532997,4.0,238,2,1,0,0,0,0,1,1,0,0,0,0,1,0
36.162142,-86.516006,4.5,246,2,1,0,0,0,0,0,1,0,0,0,0,1,0
35.9326514238,-86.8246329642,4.0,74,2,1,0,0,0,0,0,1,0,1,0,0,0,0
39.9710819,-86.1601728,4.0,243,2,1,0,0,0,0,0,1,0,0,0,0,1,0
39.979376,-86.001692,4.0,188,2,1,0,0,0,0,1,1,0,0,0,0,1,0
38.7687445,-90.5219795,3.5,66,2,1,0,0,0,0,0,0,0,0,0,0,1,0
53.5428720873,-113.4995122836,4.0,87,1,1,0,0,0,0,1,0,1,0,1,0,1,0
28.4977,-82.650015,4.0,214,2,1,0,0,0,0,0,1,1,0,0,0,1,0
38.6330839,-90.3064808,4.0,86,2,1,0,0,1,0,0,0,1,0,0,0,0,0
40.2285432,-74.9370146,4.5,124,1,1,0,0,0,0,0,1,0,0,1,0,1,0
39.5295616355,-119.8145651258,3.5,592,2,0,0,0,0,0,1,1,1,0,0,0,1,0
38.5245347,-90.355678,4.0,126,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.8808598,-75.5482765,3.5,63,2,1,0,0,0,0,0,1,0,0,0,0,1,0
28.0148425,-82.1231756,3.5,64,1,1,0,0,0,0,0,1,0,0,0,0,1,0
43.671633,-116.283591,4.0,115,2,1,0,0,0,0,0,1,1,0,0,0,1,0
53.4945772799,-113.517946463,4.0,57,2,1,0,0,0,0,0,1,0,0,0,0,1,0
36.1431224,-86.79351,4.5,51,2,0,0,0,0,0,0,1,0,1,0,0,0,0
32.23505288,-110.89693127,4.5,75,1,1,0,0,0,0,0,1,0,0,0,0,0,1
27.7969762597,-82.6381678127,4.5,207,1,1,0,0,0,0,0,1,0,0,0,0,1,0
27.713401,-82.394372,4.0,142,1,1,0,0,0,0,0,1,0,0,0,0,1,0
40.0750524,-75.2945235,4.0,135,2,1,0,0,0,0,0,1,0,0,0,0,1,0
38.62468,-90.5150663,4.0,313,2,1,0,0,0,1,0,1,1,0,0,0,1,0
38.6041071,-89.8085329,3.5,52,2,1,0,0,0,0,0,1,1,0,0,0,1,0
34.4189939,-119.6950684,4.0,320,2,1,0,0,0,0,0,1,0,0,1,0,0,0
29.963974,-90.0426042,4.5,73,1,1,0,0,0,0,0,0,0,0,0,0,1,1
36.1632454,-86.7760574,4.5,55,2,1,0,0,0,0,0,0,1,0,0,0,0,0
29.9244207343,-90.1079344048,4.0,119,2,1,0,0,0,0,0,1,0,1,0,0,0,0
28.187946572,-82.3500558385,4.5,127,1,1,0,0,0,0,1,1,0,0,1,0,1,0
34.3965102,-119.5216815,4.5,460,2,1,0,0,0,0,0,1,0,0,0,0,1,0
40.1751076427,-75.0432257715,4.5,572,2,0,0,0,0,0,1,1,0,0,0,0,1,0
27.920067,-82.4989209,4.0,325,2,1,0,0,0,1,1,0,0,0,0,0,1,0
40.3664177,-74.9416785,4.0,54,1,1,0,0,0,0,0,0,0,0,0,0,1,0
27.7854888011,-82.7302946082,4.0,125,2,1,0,0,0,0,0,1,1,0,0,0,1,0
43.6192456,-116.2546881,4.0,155,2,1,0,0,0,0,0,1,0,0,0,0,1,0
39.8317759,-86.2404209,3.5,167,2,1,0,0,0,0,1,1,0,0,0,0,1,0
39.949195,-75.1629437,4.0,63,2,1,0,0,0,0,0,1,0,1,0,0,0,0
39.94796,-75.22198,4.0,301,1,1,0,0,0,0,0,1,0,0,0,0,1,0
29.9733253,-90.0810244,3.5,226,3,0,0,0,1,0,0,1,0,0,0,0,1,0
39.916113059,-74.9215189617,4.0,74,1,1,0,0,0,0,0,1,0,0,0,0,1,0
38.6184117,-90.2741825,4.5,281,2,1,0,0,0,1,0,1,0,0,0,0,1,0
43.6135729,-116.1999038,4.0,176,2,0,0,0,1,0,1,0,1,0,1,0,1,0
43.6046712,-116.22804,4.5,121,3,0,0,0,0,0,1,0,1,0,0,0,1,0
32.3527211,-111.0908436,4.0,76,1,1,0,0,0,0,0,1,0,0,0,1,0,0
39.953291,-75.173645,4.0,65,1,1,0,0,0,0,0,1,0,0,0,0,1,0
30.023792,-90.1136223,3.5,255,2,1,0,0,0,0,0,1,0,0,0,0,1,0
40.0903977316,-75.0926760348,4.0,55,2,1,0,0,0,0,1,0,0,0,0,0,1,0
39.916169,-75.382347,4.0,88,1,1,0,0,0,0,0,1,0,0,0,0,1,0
43.6161949628,-116.2027077,4.0,280,2,1,0,0,0,0,0,1,0,0,0,0,1,0
35.9459704793,-86.8279486659,3.5,329,2,1,0,0,0,0,1,1,0,0,0,0,1,0
39.9686973,-75.1606146,4.5,138,2,1,0,1,1,0,1,0,0,0,0,0,1,0
38.6735532,-90.4204985,3.5,65,1,1,0,0,0,0,0,1,0,0,0,0,1,0
36.1226231735,-86.7761365195,3.5,472,2,0,0,0,0,0,1,1,1,0,0,0,1,0
34.4157471,-119.6884801,4.0,238,2,1,0,0,0,1,0,1,1,0,0,0,0,0
29.9543868,-90.0683629,4.0,2064,3,0,0,0,0,0,1,0,1,0,1,0,1,0
29.9458702,-90.0704978,4.5,180,2,1,0,0,0,0,0,1,0,1,0,0,0,0
30.0200051249,-90.2493493809,3.5,115,2,1,0,0,0,0,0,1,1,0,0,0,1,0
32.2497812,-110.8909436,4.0,76,2,1,0,0,0,0,0,1,1,0,0,0,0,1
38.596068,-90.493565,4.0,254,2,0,0,0,0,1,1,1,1,0,0,0,1,0
39.9691898,-75.1340384,4.5,138,2,1,0,0,0,0,0,1,0,1,0,0,0,1
27.9491200666,-82.458398826,4.0,325,2,1,0,0,0,0,0,1,0,0,0,0,1,0
28.0819277157,-82.5391477434,4.0,316,2,1,0,1,0,0,1,0,0,0,0,0,1,0
39.4449054568,-119.7744037621,3.5,90,1,1,0,0,0,0,0,1,0,0,0,0,0,1
29.900257,-90.1516748,5.0,111,1,1,0,0,0,0,0,1,1,0,0,0,0,0
40.3072739,-75.1299259,4.0,105,3,0,0,1,0,0,1,0,0,0,0,0,1,0
32.2627192,-110.9446296,4.5,89,2,1,0,0,0,0,1,1,0,0,0,0,1,0
38.6549760334,-90.2968843281,4.5,69,1,1,0,0,0,0,0,0,0,0,0,0,1,0
40.09165,-74.93997,4.0,240,2,1,0,0,0,0,0,1,0,0,0,0,1,0
39.927488,-75.16651,4.0,79,2,1,0,0,0,0,0,1,0,1,0,0,0,0
40.0603863,-75.0845897,4.5,116,1,1,0,0,0,0,0,1,1,0,0,0,1,0
40.1053723,-75.3404208,4.5,89,1,1,0,0,0,0,0,1,0,0,0,0,1,0
40.0451819,-75.388188,4.5,126,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.9647367,-74.9453088,4.5,202,2,1,0,0,0,0,0,1,0,0,1,0,1,0
38.6267906,-90.2567049,4.5,470,2,1,0,0,0,1,1,1,0,0,0,0,1,0
39.9533224742,-75.1590000821,4.0,485,1,1,0,0,0,0,0,1,0,0,0,0,1,0
39.870878,-86.1422438,4.0,170,1,1,0,0,0,0,0,1,0,0,1,0,1,0
39.9199498,-74.9283212,4.5,196,2,1,0,0,0,1,0,1,0,0,0,0,1,0
39.9415201345,-75.1509702725,4.5,159,2,1,0,0,0,0,0,1,0,0,0,0,1,0
28.0160458,-82.531869,4.5,190,1,1,0,0,0,0,0,1,0,0,0,0,0,1
38.6324938,-90.4064437,3.5,366,2,0,0,0,0,0,1,0,1,0,0,0,1,0
28.002703,-82.4590917,4.0,101,2,1,0,0,0,1,0,1,0,0,0,0,1,0
53.5978212,-113.5706935,3.5,52,2,1,0,0,0,0,0,1,1,0,0,0,1,0
40.3136566,-74.8957796,4.0,109,3,0,0,0,0,0,1,0,0,0,0,0,1,0
29.9426876,-90.065991,3.5,213,2,0,0,0,0,0,1,1,1,0,0,0,1,0
39.910792,-86.108256,4.5,103,2,1,0,0,0,0,0,1,0,1,0,0,0,0
28.169016,-82.356628,5.0,88,2,1,0,0,0,0,0,1,0,0,0,0,1,0
53.5178491,-113.4951883,3.5,54,2,0,0,0,0,0,0,1,1,0,0,0,1,0
53.5407845,-113.4922256,4.0,51,3,0,0,1,0,0,1,0,0,0,0,0,1,0
35.8994368,-86.8755453,4.0,157,2,1,0,0,0,0,0,1,0,0,0,0,1,0
53.5410214625,-113.4992408752,4.5,116,3,0,0,0,1,1,1,0,1,0,0,0,1,0
